ph,timestamp
6.6,"2017-12-06 13:19:40"
6.6,"2017-12-06 13:19:45"
6.6,"2017-12-06 13:19:50"
6.6,"2017-12-06 13:19:55"
6.6,"2017-12-06 13:20:00"
6.6,"2017-12-06 13:20:05"
6.6,"2017-12-06 13:20:10"
6.6,"2017-12-06 13:20:15"
6.6,"2017-12-06 13:20:20"
6.6,"2017-12-06 13:20:25"
6.59,"2017-12-06 13:20:30"
6.6,"2017-12-06 13:20:35"
6.6,"2017-12-06 13:20:40"
6.59,"2017-12-06 13:20:45"
6.6,"2017-12-06 13:20:50"
6.6,"2017-12-06 13:20:55"
6.59,"2017-12-06 13:21:00"
6.59,"2017-12-06 13:21:05"
6.6,"2017-12-06 13:21:10"
6.6,"2017-12-06 13:21:15"
6.59,"2017-12-06 13:21:20"
6.59,"2017-12-06 13:21:25"
6.59,"2017-12-06 13:21:30"
6.59,"2017-12-06 13:21:35"
6.59,"2017-12-06 13:21:40"
6.59,"2017-12-06 13:21:45"
6.58,"2017-12-06 13:21:50"
6.58,"2017-12-06 13:21:55"
6.6,"2017-12-06 13:22:00"
6.6,"2017-12-06 13:22:05"
6.9,"2017-12-06 13:22:10"
6.68,"2017-12-06 13:22:15"
6.66,"2017-12-06 13:22:20"
6.64,"2017-12-06 13:22:25"
6.64,"2017-12-06 13:22:30"
6.63,"2017-12-06 13:22:35"
6.62,"2017-12-06 13:22:40"
6.61,"2017-12-06 13:22:45"
6.61,"2017-12-06 13:22:50"
6.61,"2017-12-06 13:22:55"
6.6,"2017-12-06 13:23:00"
6.61,"2017-12-06 13:23:05"
6.6,"2017-12-06 13:23:10"
6.61,"2017-12-06 13:23:15"
6.61,"2017-12-06 13:23:20"
6.61,"2017-12-06 13:23:25"
6.6,"2017-12-06 13:23:30"
6.6,"2017-12-06 13:23:36"
6.6,"2017-12-06 13:23:41"
6.6,"2017-12-06 13:23:46"
6.6,"2017-12-06 13:23:51"
6.59,"2017-12-06 13:23:56"
6.59,"2017-12-06 13:24:01"
6.59,"2017-12-06 13:24:06"
6.6,"2017-12-06 13:24:11"
6.6,"2017-12-06 13:24:16"
6.6,"2017-12-06 13:24:21"
6.6,"2017-12-06 13:24:26"
6.6,"2017-12-06 13:24:31"
6.6,"2017-12-06 13:24:36"
6.6,"2017-12-06 13:24:41"
6.6,"2017-12-06 13:24:46"
6.6,"2017-12-06 13:24:51"
6.6,"2017-12-06 13:24:56"
6.6,"2017-12-06 13:25:01"
6.6,"2017-12-06 13:25:06"
6.6,"2017-12-06 13:25:11"
6.6,"2017-12-06 13:25:16"
6.6,"2017-12-06 13:25:21"
6.57,"2017-12-06 13:25:26"
6.47,"2017-12-06 13:25:31"
6.34,"2017-12-06 13:25:36"
7.94,"2017-12-06 13:25:41"
8,"2017-12-06 13:25:46"
8.03,"2017-12-06 13:25:51"
8.05,"2017-12-06 13:25:56"
8.06,"2017-12-06 13:26:01"
8.07,"2017-12-06 13:26:06"
8.08,"2017-12-06 13:26:11"
8.08,"2017-12-06 13:26:16"
8.09,"2017-12-06 13:26:21"
8.11,"2017-12-06 13:26:26"
8.07,"2017-12-06 13:26:31"
7.72,"2017-12-06 13:26:36"
7.6,"2017-12-06 13:26:41"
7.52,"2017-12-06 13:26:46"
7.46,"2017-12-06 13:26:51"
7.4,"2017-12-06 13:26:56"
7.36,"2017-12-06 13:27:01"
7.34,"2017-12-06 13:27:06"
7.3,"2017-12-06 13:27:11"
7.28,"2017-12-06 13:27:16"
7.25,"2017-12-06 13:27:21"
7.23,"2017-12-06 13:27:26"
7.23,"2017-12-06 13:27:31"
7.21,"2017-12-06 13:27:36"
7.19,"2017-12-06 13:27:41"
7.18,"2017-12-06 13:27:46"
7.17,"2017-12-06 13:27:51"
7.16,"2017-12-06 13:27:56"
7.15,"2017-12-06 13:28:01"
7.13,"2017-12-06 13:28:06"
7.13,"2017-12-06 13:28:11"
7.11,"2017-12-06 13:28:16"
7.11,"2017-12-06 13:28:21"
7.1,"2017-12-06 13:28:26"
7.09,"2017-12-06 13:28:31"
7.09,"2017-12-06 13:28:36"
7.08,"2017-12-06 13:28:41"
7.07,"2017-12-06 13:28:46"
7.07,"2017-12-06 13:28:51"
7.06,"2017-12-06 13:28:56"
7.06,"2017-12-06 13:29:01"
7.05,"2017-12-06 13:29:06"
7.05,"2017-12-06 13:29:11"
7.05,"2017-12-06 13:29:17"
7.04,"2017-12-06 13:29:22"
7.04,"2017-12-06 13:29:27"
7.04,"2017-12-06 13:29:32"
7.03,"2017-12-06 13:29:37"
7.02,"2017-12-06 13:29:42"
7.01,"2017-12-06 13:29:47"
7.02,"2017-12-06 13:29:52"
7.01,"2017-12-06 13:29:57"
7,"2017-12-06 13:30:02"
7,"2017-12-06 13:30:07"
7,"2017-12-06 13:30:12"
7,"2017-12-06 13:30:17"
6.99,"2017-12-06 13:30:22"
6.99,"2017-12-06 13:30:27"
6.98,"2017-12-06 13:30:32"
6.98,"2017-12-06 13:30:37"
6.97,"2017-12-06 13:30:42"
6.96,"2017-12-06 13:30:47"
6.97,"2017-12-06 13:30:52"
6.96,"2017-12-06 13:30:57"
